UTC,Lat,Lon,Alt,Vx,Vy,Vz
15:14:57,32.16857025350387,34.81329261033707,0.8763385331258178,3887.7508286917846,774.9821871632415,2409.58731047423
15:14:58,32.16853107335886,34.81328027247465,71.85316537693143,433.2654541783113,-1344.0445646020298,-222.37933231119504
15:14:59,32.16847560139788,34.81331987350958,30.008705011568964,432.67042462418357,-1346.944782024596,-225.32382898523906
15:15:00,32.168486911241125,34.813282269126454,50.19229134079069,432.2075737013335,-1347.5965079280827,-226.0284510113744
15:15:01,32.16849448972599,34.813268095007835,49.90408856142312,430.46416208648293,-1348.6830247623489,-228.23350456844506
15:15:02,32.168542183719424,34.81325274386423,43.34582491032779,432.0911593409052,-1348.2677837728074,-226.19535905674354
15:15:03,32.168515388577134,34.81323999123741,85.30964870285243,3896.9399284437404,783.6081239973821,2420.5743935193927
15:15:04,32.168545346022796,34.813276614581554,50.186771009117365,428.49243787975075,-1352.4834914619144,-234.05353034287418
15:15:05,32.16857960462306,34.813306487729314,36.07318496797234,3896.6457672114507,782.3331059225824,2422.0486520750533
15:15:06,32.168562350360986,34.81331412109279,28.608496736735106,3900.6465133908687,785.3701486323538,2427.1012488080555
15:15:07,32.16854376555441,34.813310865282205,8.170742235146463,3900.8312832302117,784.6255037229861,2427.306078574214
15:15:08,32.16850312193014,34.81327996386748,25.107849371619523,3902.3853233420186,785.8821323630826,2429.4283882132836
15:15:09,32.16859502808985,34.81326153970334,80.92867177724838,3902.546329104499,786.0096681350174,2430.6875015690466
15:15:10,32.16858885940805,34.81326198879446,116.70699319243431,3906.5419722654265,788.8646021325063,2434.6236599475515
15:15:11,32.16859124093681,34.81324947571295,31.965109430253506,3904.8791717688164,788.13779237579,2434.0234889747853
15:15:12,32.168595682776726,34.813272780872154,37.639811001718044,423.16607168461064,-1362.916236856212,-245.19318892777886
15:15:13,32.16864206509539,34.813249440502204,60.103669164702296,3538.2511568636514,479.5485352113501,2089.9175164873195
15:15:14,32.16868319693151,34.813251382051114,54.32562969997525,1174.0000872434493,151.43092402535945,1141.0765273233353
15:15:15,32.16866316128155,34.813246857954724,66.08512656856328,621.4256537364524,-508.9834848806732,-487.38167559997675
15:15:16,32.168710896878586,34.813277373129004,41.676479942165315,620.4498615730125,-510.1870766084447,-488.97005272673755
15:15:17,32.16873592681259,34.81331572573414,71.86822789534926,620.4769456053223,-510.1408786066492,-489.3815976453808
15:15:18,32.168724749154094,34.81332611102582,37.03004736546427,621.1571245436653,-509.55160540294526,-488.14918197246726
15:15:19,32.16874971376836,34.81327121615136,58.607469351030886,620.2388540767769,-509.56571681213296,-488.7277929136487
