UTC,Lat,Lon,Alt,Vx,Vy,Vz
15:14:54,32.243115865950365,34.90678008882433,61125.15661084652,-7608.675040224923,-4266.729308031375,-7227.493615410593
15:14:57,32.22502463314648,34.91860136641921,61060.07122811582,-7615.8100595640635,-4272.120157926263,-7237.700814014233
15:14:58,32.21419366968272,34.925686659785086,4895.487058389932,-101.21744505979576,384.663856547352,-1437.6003209795992
15:14:59,32.19255145261428,34.93988579068648,4845.927500300109,-99.69480845244384,385.72712381428045,-1435.6385549415745
15:15:00,32.170837481589714,34.954059757773884,4881.810842507519,-98.02788264143945,389.01867086091426,-1431.4508889203069
15:15:01,32.19262402247101,34.9398413721012,4845.782362979837,-97.64359938969871,391.9033139853946,-1428.7425152377855
15:15:02,32.19266577316593,34.93980451585152,4839.295724525116,-93.88202547666056,396.2810823692353,-1421.7660935256101
15:15:03,32.21446883489519,34.9256338146458,61432.67797023896,-7644.399565379463,-4290.440311086944,-7270.092451745543
15:15:04,32.23630056485494,34.911466268026516,4839.769454791211,-93.23870034912866,399.9634838550644,-1419.8531824164475
15:15:05,32.258111217734395,34.897299984927145,61479.529799904674,-7657.377218524008,-4300.734625511979,-7283.154060006724
15:15:06,32.25816225771793,34.89730623501315,61520.51245243754,-7659.720490531693,-4302.202584572803,-7285.356340839761
15:15:07,32.27999400371863,34.883152753941125,61548.00186077971,-7665.866099008524,-4307.480279247687,-7292.450990776849
15:15:08,32.28008883306056,34.88312693643163,61613.62698721886,-7670.692308029683,-4310.769882849662,-7297.643187939612
15:15:09,32.25835672115659,34.89720485595289,61718.48035030253,-7676.918933524647,-4315.226029871204,-7303.741051590026
15:15:10,32.236664482569665,34.9112861118051,61803.46144091245,-7679.333801158134,-4316.939061252611,-7307.139699760861
15:15:11,32.217400748408075,34.92209698925509,4832.220113068819,-82.77093363777752,418.4377661501327,-1394.3180002120582
15:15:12,32.19636995183866,34.93478074843958,4815.695451572537,-81.52473359609938,421.2289879882922,-1391.5992040435412
15:15:13,32.156383866382726,34.948760902665846,6325.474044711329,-4907.7379268218365,-1983.561291171339,-4690.304702204318
15:15:14,32.138235854032565,34.94862267123777,3877.8829276617616,-994.1945876978169,-1421.6798980658637,-3074.1957631470327
15:15:15,32.12007935128206,34.94852404595524,-3551.003985184245,584.8252830707494,460.5794311156796,1567.5276828662059
15:15:16,32.099472448948994,34.951686662780006,-3599.4045788990334,584.2778794771582,459.7058112597838,1566.3337639475424
15:15:17,32.08059722098016,34.95297282087948,-3554.1193717811257,584.7532656055802,460.0647060523457,1566.3200482328577
15:15:18,32.080656687738994,34.9529465269416,-3593.7703086463735,585.8599843383861,460.9803378524788,1567.9430303415888
15:15:19,32.080665897437655,34.952946795831735,-3580.3445349093527,585.3879855008894,461.28123094870205,1567.7619697608152
15:15:20,32.08069548094616,34.95292178971566,-3565.749572413042,586.5497648454088,461.6111051929643,1568.372631380203
15:15:21,32.08071786439622,34.952895004207925,-3579.8848080644384,585.8834758854804,461.34405630800524,1567.716210045931
15:15:22,32.08073528827969,34.95287054662528,-3584.2981716115028,585.9287041578339,461.2067656361925,1568.1628982408656
15:15:23,32.08073710878832,34.95286065891111,-3568.522250282578,586.6567064165454,460.89539488356377,1568.1447318954379
15:15:24,32.0807757565838,34.95282880552764,-3584.047264616005,587.0695724043246,461.3907745754367,1568.9828098459527
15:15:25,32.0807786867465,34.95278903167291,-3565.631741238758,587.1320269110054,461.3403848253224,1569.161001032614
15:15:26,32.101718262009456,34.94935719368645,-3558.448895434849,586.6339310866148,461.1386619707215,1568.7873464010136
15:15:27,32.12071827802269,34.94804739186312,-3586.571579385549,587.293202861217,461.5084842605348,1569.4243674851696
15:15:28,32.14084905259024,34.9465563238149,6745.219445638359,-4930.694906904805,-1996.6160169631064,-4718.771670093951
15:15:29,32.141242193432774,34.94596034348935,3942.307039819658,-986.1089550859624,-1413.4414637028433,-3050.818752592896
15:15:30,32.16021656889768,34.944699388718966,4429.610262225382,-457.8631986158952,-1133.1600908705698,-2103.7072551995802
15:15:31,32.15828592546049,34.94680912215802,-3261.1881426293403,-166.07278840556359,523.4204619546532,1020.2244883050508
15:15:32,32.13978123249643,34.94746418353549,3903.017721894197,-984.512513779274,-1412.108693734025,-3046.1222956603638
15:15:33,32.139812939805935,34.94745260718368,3932.0666544605047,-985.1136528683446,-1412.0862350634218,-3045.215467457408
15:15:34,32.13984867136267,34.9474172297873,-3222.2861373266205,-164.63873082449604,524.2082795285586,1022.105030549899
