UTC,Lat,Lon,Alt
06:44:38,32.16975387408144,34.813968627851324,204.32157580088824
06:44:40,32.169687217938744,34.813885828868315,136.06773452088237
06:44:42,32.169553905653366,34.81382098196945,132.88614829536527
06:44:44,32.16941911465136,34.813662101832726,-17.471654346212745
06:44:45,32.16934985956594,34.81355580184763,-30.884529675357044
06:44:46,32.169343746391775,34.81342819086375,-44.96501452848315
06:44:47,32.16933286168227,34.813401130555754,30.153743780218065
06:44:48,32.16933046767696,34.81340113055576,-29.549153504893184
06:44:49,32.16933046767696,34.813401130555754,-51.34857408795506
06:44:50,32.169342219344315,34.81340133094702,-30.440167929045856
06:44:51,32.169345480307484,34.813401130555754,-51.633807674981654
06:44:52,32.169345480307484,34.81339168572163,-51.290201040916145
06:44:53,32.16934166623395,34.813382240887506,-50.52751273754984
06:44:54,32.16933785216042,34.81337299644465,-46.914232190698385
06:44:55,32.169336217495385,34.81337299644465,-58.12199723999947
06:44:56,32.16933374261246,34.813378125677055,-39.859721577726305
06:44:57,32.16933124904844,34.81337812567706,-48.81932211574167
06:44:58,32.16932483351998,34.81337812567707,-43.13179945014417
06:44:59,32.1693176996848,34.81337565921461,-42.368723439984024
06:45:00,32.16931023264408,34.81337460413364,-43.104764497838914
06:45:01,32.169307667494564,34.81337725191557,-34.62097867298871
06:45:02,32.16930721398005,34.813377236927536,-34.25442573800683
06:45:03,32.16930721398005,34.81337723692754,-39.978834048844874
06:45:04,32.16930690123007,34.81337100569379,-32.117719285190105
06:45:05,32.169306588480104,34.81337100569379,-33.95620917715132
06:45:06,32.16931336406981,34.81337470855668,-30.684160966426134
06:45:07,32.16932069500827,34.81338694544206,-29.54627788066864
06:45:08,32.16933619537297,34.81339525777622,-37.54838160146028
06:45:09,32.169344505770106,34.81340284835753,-53.28984590712935
06:45:10,32.16935267519636,34.81340443328722,-45.38991690147668
06:45:11,32.16935267519636,34.81340371153438,-30.662355633452535
06:45:12,32.16935267519636,34.81340212660469,-57.49815305136144
06:45:13,32.169353161852094,34.813392927985795,-17.55076265707612
06:45:14,32.16935425563982,34.8133837293669,-39.86496637109667
06:45:15,32.16934684315153,34.81337611567768,-34.77490138914436
06:45:16,32.16933894400751,34.81337611567768,-40.8592048631981
06:45:17,32.169329264692934,34.81338122785961,-43.23408162035048
06:45:18,32.16931121775636,34.813398196644556,-15.058816305361688
06:45:19,32.16929145742983,34.81342368694464,-7.44318270124495
06:45:20,32.16926827996478,34.8134515579132,2.7889747032895684
06:45:21,32.16926197639772,34.81346757227873,-4.937884627841413
06:45:22,32.16926197639772,34.81348269220197,64.5316432081163
06:45:23,32.169266566574805,34.81349031927481,47.15813663881272
06:45:24,32.16927450024777,34.813497946347645,82.2652165768668
06:45:25,32.169285898197145,34.81348141885197,10.29649256169796
06:45:26,32.16929729614651,34.81346489135629,8.221968283876777
06:45:27,32.16930535060002,34.81344836386061,2.7272969875484705
06:45:28,32.169303351298154,34.8134482638228,-25.95251384936273
06:45:29,32.16929529684465,34.81344499451027,-4.391105655580759
06:45:30,32.16929329754279,34.81344172519774,42.15813997760415
06:45:31,32.16929329754279,34.813445817947304,-6.308682580478489
06:45:32,32.16929768879217,34.81347271889384,-54.4569877255708
06:45:33,32.16929768879217,34.81349961984038,-31.563758564181626
06:45:34,32.169297884389216,34.81351925876263,127.35025576502085
06:45:35,32.16930700552389,34.81351925876263,-30.385613527148962
06:45:36,32.16933903654443,34.81352351371527,-13.69259169884026
06:45:37,32.16936343419807,34.81352776866791,-19.165763943456113
06:45:38,32.16936343419806,34.81353434797081,-11.855466042645276
06:45:39,32.16935599642821,34.81354321051957,-72.75028156489134
06:45:40,32.16935599642821,34.81362475161381,-43.056595898233354
06:45:41,32.16938551090504,34.813716206538714,6.437112236395478
06:45:42,32.169400051337206,34.813832889390135,-1.7344498876482248
06:45:43,32.169427620741985,34.81388213483704,36.56105884723365
06:45:44,32.169442811688214,34.813919142103,56.24301813635975
06:45:45,32.16945584066082,34.81392438324397,215.4715241920203
06:45:46,32.169445677506204,34.81387513779707,189.88611964974552
06:45:47,32.169435514351576,34.81383620190905,193.85656157974154
06:45:48,32.169402276086736,34.813786871181605,-43.083633463829756
06:45:49,32.169376950068155,34.81378440594686,7.005830640904605
06:45:50,32.16934566188705,34.81376870350464,6.42872176785022
06:45:51,32.16933744881617,34.81376632355043,9.808362573385239
06:45:52,32.16932960010694,34.81376870350464,-19.77360565122217
06:45:53,32.16932648177155,34.81377163115324,-2.4660599129274487
06:45:54,32.16931986012122,34.81374742879419,35.846363929100335
06:45:55,32.169309738260935,34.81370942154746,2.836311986669898
06:45:56,32.16929994964966,34.81367379425493,6.926954398863018
06:45:57,32.169293664353326,34.81366236932147,-13.732076154090464
06:45:58,32.16929276581366,34.81366236932147,61.13629972282797
06:45:59,32.16929276581366,34.81366236932147,1.895315638743341
06:46:00,32.16929276581366,34.81366453934937,45.516557219438255
06:46:01,32.16929276581366,34.81366670937728,35.41582338232547
06:46:02,32.169295203262116,34.81366887940518,-4.188754512928426
06:46:03,32.169297640710575,34.81364255829448,-27.546851406805217
06:46:04,32.16930007815903,34.81358507197269,-1.9502563523128629
06:46:05,32.16928257234203,34.81352505492279,28.241371070034802
06:46:06,32.16926410335135,34.81346830078476,35.14063512440771
06:46:07,32.16924563436068,34.81343940982644,33.361523441039026
06:46:08,32.16924563436068,34.81340360784321,54.16517707053572
06:46:09,32.169246597534354,34.81338335579449,40.083707134239376
06:46:10,32.16927725921016,34.813358482302,51.42377810087055
06:46:11,32.16931678542921,34.813328026670185,2.412563906982541
06:46:12,32.16935857912402,34.81330360428876,-8.364302271977067
06:46:13,32.1693706743167,34.813287105382535,-1.5469564320519567
06:46:14,32.169373042506066,34.8132665894553,-1.4819651059806347
06:46:15,32.16937314321966,34.81322380721496,-5.995833416469395
06:46:16,32.169378420102596,34.81316635661279,-11.40720046684146
06:46:17,32.169383596271935,34.813113898822415,-9.558095748536289
06:46:18,32.169383596271935,34.81306904802376,-0.9201329462230206
06:46:19,32.16937096122074,34.81300429728275,11.021008271723986
06:46:20,32.169358326169544,34.81294442518506,137.12873225286603
06:46:21,32.16933455873958,34.812845795843096,3.3659463189542294
06:46:22,32.16931825019145,34.81277659739199,-13.024695693515241
06:46:23,32.169301487496504,34.81267928418206,-39.608438178896904
06:46:24,32.16930103334967,34.81259949840228,96.30343820992857
06:46:25,32.169300579202826,34.81249834457119,25.660774813964963
06:46:26,32.169300579202826,34.81243159769871,-12.919150037690997
06:46:27,32.169307786972425,34.81240221497567,6.498627104796469
06:46:28,32.16931603498507,34.812379713889555,-10.047991066239774
06:46:29,32.16932324275467,34.81233295021795,-18.642309198156
06:46:30,32.16932324275467,34.812284358441325,25.999637513421476
06:46:31,32.169305093744,34.812226192131,-21.05305310525
06:46:32,32.16928798497637,34.81212366308995,-8.90488910023123
06:46:33,32.16927341878812,34.812015613815284,37.49323404300958
06:46:34,32.16923807747493,34.81191013211767,39.43795372545719
06:46:35,32.169202736161736,34.81186614843232,125.72543340362608
06:46:36,32.16917808767639,34.811820578656764,20.746413975954056
06:46:37,32.169191323083616,34.811773206088894,-2.162379439920187
06:46:38,32.16920455849085,34.81173583808336,-20.866457586176693
06:46:39,32.16920413915269,34.811639250830574,-19.560090978629887
06:46:40,32.169203719814526,34.81154212862552,25.864656408317387
06:46:41,32.169203719814526,34.81142752122421,18.72405240405351
06:46:42,32.16920413915269,34.811379510638034,36.03685245849192
06:46:43,32.169204862405934,34.81133809442594,31.01277834083885
06:46:44,32.16923358352109,34.81129052055952,-95.35706324130297
06:46:45,32.16926230463625,34.811227094132704,-10.511759751476347
06:46:46,32.16929072183631,34.811177519479315,1.2377357371151447
06:46:47,32.16927970648052,34.811151587676484,-6.326219507493079
06:46:48,32.169252704048255,34.81111202819779,-6.783220585435629
06:46:49,32.16922428684819,34.81108099110057,-4.8438700856640935
06:46:50,32.16919299647184,34.81104967329289,15.20525516755879
06:46:51,32.16917543046724,34.811038849829686,12.167220141738653
06:46:52,32.16915294259776,34.81102186894086,24.19612778071314
06:46:53,32.16914317983082,34.8110051687625,-17.667470136657357
06:46:54,32.16913111373506,34.81099901133688,-19.26606834679842
06:46:55,32.169099832309854,34.81099901133688,-0.39497491903603077
06:46:56,32.16905507967823,34.81099083035718,-1.193692559376359
06:46:57,32.169003998008066,34.810976629343806,-3.7961273984983563
06:46:58,32.16895933637777,34.81096078492297,-11.718911913223565
06:46:59,32.1689019666704,34.81094817149154,-2.6631695441901684
06:47:00,32.16885214075048,34.81093344579926,11.22301176097244
06:47:01,32.16880384455517,34.81090665801722,-8.524797413498163
06:47:02,32.16875790503359,34.810873170332734,-2.6799797927960753
06:47:03,32.1687055390374,34.81083302184534,-5.869883032515645
06:47:04,32.16866253263878,34.8106511828743,-15.047852802090347
06:47:05,32.16859998844515,34.810480993796006,-79.3590944884345
06:47:06,32.168543671429255,34.81032559781512,-69.67573634628206
06:47:07,32.16849361548698,34.81032559781512,-80.13833913207054
06:47:08,32.16843520038038,34.81035457266089,-88.79402564186603
06:47:09,32.168379495128136,34.81038354750667,11.241569857113063
06:47:10,32.16830949090421,34.81041252235244,1.5540324430912733
06:47:11,32.16827963256271,34.81041252235244,-6.585537969134748
06:47:12,32.168214258302235,34.810374034030225,-18.556068676523864
06:47:13,32.16815496035081,34.810333937168714,-9.256519106216729
06:47:14,32.16809557076823,34.8102928966644,-20.140566052868962
06:47:15,32.16806067510488,34.810282995294955,-15.582671962678432
06:47:16,32.16802901114334,34.81024438683509,-15.175410745665431
06:47:17,32.16798703746569,34.81018874408347,-6.6917629763484
06:47:18,32.16793782732321,34.810101376160944,20.11588883586228
06:47:19,32.167882023587445,34.81004130525941,-9.509993840940297
06:47:20,32.16783466540488,34.809941130749834,-12.700613914988935
06:47:21,32.167759344979004,34.80983399583045,44.58441760390997
06:47:22,32.16769462050893,34.80970004165547,-16.50925844721496
06:47:23,32.16760378763078,34.80961489576508,31.93650944251567
06:47:24,32.16754074134726,34.80954418513604,33.23668716382235
06:47:25,32.16747732498981,34.80950156673455,34.42005972843617
06:47:26,32.16745159055905,34.80946822159107,41.31046243105084
06:47:27,32.16743681901533,34.80944810481935,32.18868417106569
06:47:28,32.167409526525695,34.80942954033049,29.82509915716946
06:47:29,32.16738535342766,34.80939494302603,29.36445099581033
06:47:30,32.167369492283036,34.80937666929665,-6.4284637765958905
06:47:31,32.167369492283036,34.80935858892118,57.14142324589193
06:47:32,32.167369492283036,34.80935199038379,-42.792318837717175
06:47:33,32.167378161941734,34.80934734877862,-8.77698686812073
06:47:34,32.16738683160043,34.809342601848755,-6.417295450344682
06:47:35,32.16739550125913,34.80926091538904,-23.069250694476068
06:47:36,32.16739550125913,34.80912820799188,23.295550907962024
06:47:37,32.1673976894627,34.808981208869255,41.749169687740505
06:47:38,32.167399877666284,34.80888437253041,31.491306834854186
06:47:39,32.16740498408736,34.808829050858385,43.163131977431476
06:47:40,32.16742377144255,34.808770032110864,36.183740264736116
06:47:41,32.16744681027032,34.80872327513338,36.09173951484263
06:47:42,32.16746898010264,34.80864865330726,20.78218901064247
06:47:43,32.16750610300454,34.80857758810807,38.864463991485536
06:47:44,32.167540993423444,34.808489189945696,31.240996678359807
06:47:45,32.16757549375998,34.80842749264904,36.78123877197504
06:47:46,32.167592284793514,34.808365833942155,32.24139288440347
06:47:47,32.16762501109709,34.808328334287864,43.10088695306331
06:47:48,32.16767702490469,34.808229952897015,-23.321810853667557
06:47:49,32.16771788918524,34.8081343207472,29.29999679978937
06:47:50,32.16775291719749,34.80803507890354,23.270154172554612
06:47:51,32.167768453331824,34.80796247186104,43.19515128992498
06:47:52,32.16779502751443,34.807874232489034,30.438744129613042
06:47:53,32.16781086364522,34.80778646643972,32.585766355507076
06:47:54,32.16783307437536,34.80770815677486,39.118950912728906
06:47:55,32.16787490263684,34.807641449917895,49.42676120903343
06:47:56,32.16792151530227,34.80752758407843,148.47407347057015
06:47:57,32.167986629166045,34.8073900529378,40.78100772853941
06:47:58,32.16802209909895,34.807245315788684,44.06844525504857
06:47:59,32.168051404688406,34.80713642138134,28.221696763299406
06:48:00,32.16806835057531,34.807003398240106,27.341542119160295
06:48:01,32.16809126050538,34.806886481221134,52.32342929486185
06:48:02,32.16811579539644,34.80676815953756,40.141164044849575
06:48:03,32.16813256419245,34.806713804144685,37.72944984585047
06:48:04,32.16815054130237,34.80663093032865,45.07070208154619
06:48:05,32.16818394303128,34.80657210760703,63.143895814195275
06:48:06,32.16821486773111,34.8065250152928,44.38602418079972
06:48:07,32.16824024060878,34.80647934162004,36.32326766755432
06:48:08,32.168273272458336,34.80643304020564,41.03886860795319
06:48:09,32.168302576571065,34.806384487519885,38.08174832444638
06:48:10,32.16832728512293,34.806349355614806,41.50092535279691
06:48:11,32.16832728512293,34.8063188974976,40.12263710051775
06:48:12,32.1683318465456,34.80629833942087,43.7864846047014
06:48:13,32.16833640796827,34.80629833942087,52.5497972946614
06:48:14,32.16833591045681,34.806334427124604,19.280478719621897
06:48:15,32.16832701304684,34.806370747586264,-14.153183775953948
06:48:16,32.16831694806831,34.80648466535087,-2.976009818725288
06:48:17,32.168313109592475,34.80656945808773,60.14096006192267
06:48:18,32.168313109592475,34.806661319179064,-0.8519887747243047
06:48:19,32.16828227968503,34.80670309815317,-1.995694337412715
06:48:20,32.1682458360565,34.80680294434797,2.007419972680509
06:48:24,32.16820939242797,34.80689548943039,173.31967274006456
06:48:25,32.1681691645931,34.806967705306,48.76070191338658
06:48:26,32.16813338291075,34.807011074235504,83.06854849122465
06:48:27,32.16807016272634,34.80705444316501,65.35561282373965
